Title,rvwaut__infver,catxtcpt,rvwbd,rvwfoot__helpfulcount,rvwfoot__helpfulcount1,Image_URL
"Melissa of Hartford, CT","
                    Verified Reviewer
                ","Original review: March 12, 2022","I got an Uber from the grocery store. Got home. Guy from the driver seat opened his trunk. I grabbed three bags, turned around and put them in my hallway. Turned around to grab the rest. The guy had closed his trunk and was halfway down the street. It took me calling uber’s customer service line 5 times in an hr and a half to get my groceries back. It was a mistake. I understand. We all make them. But it was a hundred dollars worth of groceries. Then uber instead of fixing this issue like they used to like ""Sorry you had a bad experience here's $5 off your next trip"" CHARGED ME $15 for returning my groceries. I called them. They refused to refund me. I am taking it up with my bank and deleting the app. I will never take another uber again.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Youtube of Skokie, IL","
                    Verified Reviewer
                ","Original review: March 10, 2022","I was driving Uber since 7 years a lady file a false complaint about me that she had a service animal and I refuse to give her ride because of service animal. I know all the guidelines and everything. I didn't say anything like this. Although she didn't tell me she had service animal. She requested a regular uber not a Uber pet so when I went to pick her up I saw 2 dogs and I asked her, ""You didn't request Uber pet"" and she didn't say anything at that time. She just said never mind. So how would I know she had service animal? I am an old guy. I have to feed my family. I have kids and Uber customer service is sucks. They are rude, not listening to me. What should I do? They deactivated my account for rest of my life. I need my account back. Customers is not always right.","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Brian of Springfield, OH","
                    Verified Reviewer
                ","Original review: March 7, 2022","I was at work one day in Ohio and my phone began saying my Uber was arriving in CANADA!! It then quickly began saying the same thing 2 more times. I was able to successfully cancel one of the trips and then had to cancel my credit card. It was impossible to talk to anyone at uber, and all their customer service just told me (in a text) was ""it's probably a friend of yours using your account"". I have fought them for 5 years over this and they still refuse to refund the charges that resulted from their data breach. Thankfully my credit card refunded the charges and Uber is still waiting to get paid. Do they not realize I can just order a ride from Lyft? Worst company ever!","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Rut of Fort Myers, FL","
                    Verified Reviewer
                ","Original review: March 6, 2022",Jean ** picked up my Uber ride request at 8:05 am. Was never picked up. After 2 hours and a half he dropped my ride and almost lost my job. Very unprofessional. Now is 11:13 and still sitting in same spot as 8:05am.,"3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Mark of New York, NY","
                    Verified Reviewer
                ","Original review: March 3, 2022","I have used Uber in New York City for years, and my experience has mostly been bad. The technology is great, but the drivers, eh, about 75% of them are awful. Why?","2 people found this review helpful
            
        ",2 people,Rated with 2 stars
"Dalton of Eagle Mountain, UT","
                    Verified Reviewer
                ","Original review: March 2, 2022","Me and my wife took a trip to New York in September and we used Uber a few times. After returning home we both deleted the app, however my wife forgot to delete my credit off her account before removing the app from her phone. Then I see a $10 charge every month on the 24th starting in November when neither of us are currently using it and in no way shape or form did we subscribe or sign up for anything. So I call them and get the WORST customer service in the world. I scheduled 2 callbacks that never happened and then the 3rd person I talked to hung up on me after he explained that customer support is primarily for drivers so he can't help me. ","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Temucin of Williamstown, NJ","
                    Verified Reviewer
                ","Original review: Feb. 26, 2022","Bought an Uber gift card so as to get home after a long day. Went into the Uber app to apply it and it had no place to add a gift card after choosing that option. Called and of course you can’t get hold of anyone. Eventually found a number, called repeatedly, trying to have them resolve the issue. Wow has customer service gone down in the past 10 years! No help at all. So had to buy a Visa gift card to use to get home. Called when I got home and asked Uber to either refund the gift card, or put the money back on the Visa card as I shouldn’t have to have gone and gotten a Visa gift card. I purchased an Uber gift card and Uber’s fraudulent app, had no way to add it on. I even sent them screenshots upon their request.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"federico of Miami, FL","
                    Verified Reviewer
                ","Original review: Feb. 21, 2022","I was charge for a Uber pass I never agree on (it was slipped into a promotional deal where it wasn't clear what I was agreeing to unless I read the fine print ). I have been paying $25 a Since March 2021, which is a lot, (total:$460) and it was almost impossible to cancel it, Not phone number, also the membership was not show in the app, well is hidden. You can only realize that they are charging by checking your bank account. There was no option to cancel the subscription on the app .Horrible app, SCAM. It is ridiculous that we cannot speak to a human.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Tammy of Wittmann, AZ","
                    Verified Reviewer
                ","Original review: Feb. 17, 2022",I went and I bought an Uber card. I opened up an Uber account which they let me put the card on there. I went to schedule a ride then they asked me for my driver's license. If I had a driver's license I would not need an Uber to take me somewhere. Now they're keeping the money. They will not give it back to me and I cannot use Uber so I figured well Uber is Uber eats so then I figured I would just go ahead and do Uber eats. You cannot transfer the money. They're thieves. They keep your money. ,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Caitlyn of Iowa City, IA","
                    Verified Reviewer
                ","Original review: Feb. 15, 2022","I had somehow signed up for an Uber pass, which I don't even remember doing and think it was slipped into a promotional deal where it wasn't clear what I was agreeing to unless I read the fine print that's 7 pages long. I have been paying $25 a month unknowingly, which is a lot, for the past YEAR at least, since that was the last time I had used the app. That is at least $300 taken out of my account and there wasn't even an easy way to cancel it. There is no customer service line that is easy to find and when I did find a number they said they couldn't help me because they were for drivers. I asked if I could get some help since there was no option to cancel the subscription on the app and the representative just rambled so I was unable to understand her and it was very clear she did not care. Horrible experience, horrible app, use Lyft instead.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Aaron of Bethel Springs, TN","
                    Verified Reviewer
                ","Original review: Feb. 11, 2022","I hired Uber. The customer service was unsatisfactory, but when I got online to complain there was just preset options that make Uber look good. What if I had got robbed or raped? Uber scares me. Wow!","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Paul of Coronado, CA","
                    Verified Reviewer
                ","Original review: Feb. 10, 2022","Despite Uber confirming our scheduled pick up at the night before, And the app telling us the pick up was imminent for 15 minutes, no one arrived and the app ultimately said no one was available. Very disappointing And late for the airport.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"thampy of New Hyde Park, NY","
                    Verified Reviewer
                ","Original review: Feb. 9, 2022","Uber service is OVERCHARGING automatically to your credit card with so called “WAITING CHARGE BY 75% of DRIVERS“ ..! I was in Oahu, Hawaii, literally used Uber service as I had less options of rental vehicles! Used Uber service and billed me over their initial charge saying “The drivers waiting charge“ Oahu, Hawaii is literally a No idea place for typical vacationers & is Not familiar with locations and with Uber maps to drop a pin for your current location! In fact if the driver is confirmed to pick up,.. you’ll have search for the driver in an unfamiliar location! Those search for the driver in an unfamiliar place (with No Grace period) is so called “WAITING CHARGE BY YOUR DRIVER” and is automatically billed to your credit card! Unacceptable & Unbelievable! Used Uber Service & decided NOT to use Uber again! Deserve only 1 star!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Cary of Chicago, IL","
                    Verified Reviewer
                ","Original review: Feb. 6, 2022","An Uber driver located in San Diego came to a hotel to drive me to the airport. When he arrived at the hotel, he precipitously changed his mind and left. I ultimately found a conventional taxi at double the cost and almost missed my flight. Uber provides minimal recourse, responding with a standardized online response that did not address my concerns.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"thampy of New Hyde Park, NY","
                    Verified Reviewer
                ","Original review: Feb. 4, 2022","This was the 1st time being away from my home and relied on UBER service on my vacation in Waikiki, Honolulu and needed multiple occasions with UBER SERVICE! And literally noted customers were overcharged for unnecessary waiting time! And at another instance raised fare by 25% for the same journey just moments later! Will not use UBER app in future!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Rosy of Annville, PA","
                    Verified Reviewer
                ","Original review: Feb. 4, 2022",It is ridiculous that we cannot as a rider speak to a human. I don't understand why there is not a phone number for us to reach Uber as riders. Uber is overcharging people to make a simple stop to get cigarettes when I spend so much money in the past 6 months to ride.,"3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Simone of Brooklyn, NY","
                    Verified Reviewer
                ","Original review: Feb. 3, 2022","Wow, where do I start. After using Uber for the past 5 years. I’ve had countless drivers speed off on me & my boyfriend. The final straw we were leaving a music festival & had walked far away from the grounds to get an Uber. The driver called us ** and sped off. We reported it & they literally didn’t do ANYTHING. No calls. No apologies. No credit. UBER doesn’t care about your safety. Please use LYFT instead… it seems mildly safer.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"William of Cary, NC","
                    Verified Reviewer
                ","Original review: Jan. 29, 2022",On 01/29/2022 I used Uber to go to Lowe's Food grocery store. When the driver took me home he left before I could get all my groceries out and I had to call him to return my items. Uber is trying to charge me an Lost Item fee and refuses to understand that the driver was at fault. As luck would have it I can turn my card off and on so I will never pay the fee and I will never use Uber again. I`m on Disability and every dollar is taking away money I need for other things.,"5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Steffie of Santa Ana, CA","
                    Verified Reviewer
                ","Original review: Jan. 26, 2022","From the beginning I thought Uber was a good deal, they offered me a promotion for $35 off any order over $1. So I spent a good amount of time shopping. When I came to check out, I entered my billing information and when I selected, pay, it took me to a verify person platform with Facebook that was brought me to ""cannot go any further login page"" it would not let me complete my order. The whole coupon was just a scam. Their platform is intentionally errored so that they waste your time and business with other companies. I would never recommend UBER to anyone EVER AGAIN. This is my first shopping experience with them which is why I was eligible for this scam!","4 people found this review helpful
            
        ",4 people,
"Michael of Bradenton, FL","
                    Verified Reviewer
                ","Original review: Jan. 25, 2022",I just had a driver who could not read or speak any English. When there was a problem with the app there was no way to communicate with him. I find that absurd. I had to figure out how to correct the driver through the app. When I left pick up instructions he was unable to follow them. Overall a terrible experience,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Tyler of Monteview, ID","
                    Verified Reviewer
                ","Original review: Jan. 24, 2022",I first signed up for Uber with a promotion that guaranteed earnings of 2600 in your first 200 trips. I called in after about 50 trips because I was concerned about a situation where I would complete the 200 trips and would not receive the money I was owed. The associate confirmed that everything was good and that I had the promotion. I spoke with my girlfriend and she urged me to get it in writing so I contacted uber again to have a message sent to me saying that I specifically had the promotion and to list the terms. I was assured that it was based off of trips and there was no time limit.,"4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Danielle of Bergenfield, NJ","
                    Verified Reviewer
                ","Original review: Jan. 23, 2022",On several occasions my Uber trip to work was canceled due to drivers not wanting to take a trip to New York City. I think it’s unfair to customers and also unfair to the drivers not being able to pick up passengers and neighboring states such as New York and New Jersey. I strongly believe that this policy for Uber should change so that everyone can be happy. I spent over $600 a week on Uber and to be unable to get satisfactory transportation or communication from Uber staff and Uber driver is unacceptable.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Sandra of Astoria , NY","
                    Verified Reviewer
                ","Original review: Jan. 19, 2022",I use Uber all the time. You used to be able to call and get someone on the phone right away. Now it's impossible to even find the help/chat option in the app. Ordered a ride for my sister. Quoted a price. Driver accepted. Picked her up. Took her to her location. I get a receipt for almost 2x the price plus all kinds of fees and 2 tolls (which were more than the price of the actual toll).,"3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Brian of Kansas City, KS","
                    Verified Reviewer
                ","Original review: Jan. 11, 2022","I recently had to deliver my auto to the shop so, while at dinner the night before my appointment I downloaded the Uber App to my Android Cell phone. It's the most awful app experience I think I've ever had. It started out with a world map displaying Africa and no instructions. So, I tried to zoom in to the pickup location. It wouldn't let me select a location. So, I went out of the app and found the location. When I came back into the app Africa was once again displayed. I pasted the location into the text area. The app immediately changed the location I had pasted in to someplace several miles away. I pasted it again and this time it took or so I thought. So, I proceeded and entered a pickup time a few minutes into the future. Then the pickup time changed to about 2 hours in the future. ","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Robert of Arlington, TX","
                    Verified Reviewer
                ","Original review: Jan. 8, 2022",2 months ago customer service said they would be in contact with me. Not one response back. It seems I can’t use my credit cards which I have used for the last few years with them. I am Platinum member and that means nothing. Customer service and founder of this app should be embarrassed with how crappy their company is. Founder doesn’t care as long as his wallet is fat. He deserves the same treatment people like me get. What a joke.,"2 people found this review helpful
            
        ",2 people,Rated with 1 star
"RoZ of Waltham Cross, Other","
                    Verified Reviewer
                ","Original review: Jan. 7, 2022","I was trying to call for an Uber to take me to Montreal airport. I had used the Uber Eats app often but not the rider app because I had been warned in London by a taxi driver not to use Uber. I called the Uber. I got a response from someone named Gazzam. He then proceeded to ask me for verification and I asked Uber for a code. The driver then terminated my proposed ride and within minutes I got 11 messages in my email account thanking me for what amounted to $2200.00 worth of gift cards. I called my bank during all of this and cancelled my much needed credit card. There was no Uber customer service to call so I contacted them by email. They have promised to refund any money lost but I cannot even get into my ""hacked"" account to delete my app. RIDER BEWARE!!! The one star is for the eventual customer service!","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Jenna of Studio City, CA","
                    Verified Reviewer
                ","Original review: Jan. 6, 2022","Have you realized that Uber actually doesn't have customer service. Yes, there is Uber help online who just send you automatic messages. No one to actually talk to! We took Uber in Miami, our first time there, driver dropped us at the wrong location, we were wondering around for 30 min and missed our tour time because of him! Can you believe that I was not able to get refund for this?? All I got is this: ""We've noted your feedback, sorry for the inconvenience."" SO drivers actually allowed to drop you at the wrong place without any consequence. I tried few times, same response! I disputed the charge with the credit card and will sure hold off on Uber for a long time... Get real customer service in place!","5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Louis of Fairfax, VA","
                    Verified Reviewer
                ","Original review: Jan. 5, 2022","I scheduled a ride to the hospital for a procedure the night before my surgery. Kossi, driving a Toyota Highlander was scheduled to arrive at 06:15 AM EST with a drop off time of 06:25. The hospital is about 2 miles from my house. Kossi was 3 miles from my house when I was notified he was on his way. Instead he got a better fare to pick someone up from Dulles Airport about 25 miles from my home. Instead of picking me up on time & dropping me off on time he went out to Dulles Airport. I messaged him in the app, which said he read the text, & I called several times with no answer. He sat at Dulles for over 45 minutes before he cancelled the trip. I tried to cancel but was told I would have to pay a cancellation fee based on where Kossi was in his route to me. ","5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Valente of Sunnyvale, CA","
                    Verified Reviewer
                ","Original review: Jan. 3, 2022","1st trip I got charged $15. The 2nd trip $40. This is ridiculous abuse. Same distance, same ride type. I have Been using Uber service for more than 3 years now and always always gets charged between $15/$20 going to same place.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Tina of Atlanta, GA","
                    Verified Reviewer
                ","Original review: Jan. 1, 2022","The driver was on time. I entered the car, masked as required, and was instantly engulfed in the overwhelming lived-in scent of the SUV, its unkemptness on display - many bits of debris, stains, and so on. No worries, I figured that with such a large vehicle he gets his share of transporting unruly kids, probably pets, and who knows what else with little time to clean. I would be in the vehicle less than 10 minutes anyway to pick up my own car. But, the driver!","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Falco of Calgary, Other","
                    Verified Reviewer
                ","Original review: Jan. 1, 2022","My wife made it home, stinking drunk. Thankfully she is safe. She ordered an Uber ride. Apparently one was available 5 minutes away and then was canceled by the driver. The credit card my wife was using was pre-billed the amount of the ride, and then a second time so the card had over $100.00 pre-authorized and a 3rd attempt was no longer an option. She was not able to stay at the place she was at and had to leave. The only option was to freeze overnight outside in our vehicle or take the chance to drive home. She chose the latter. Thanks, Uber for taking the ability for my wife to obtain a safe ride home.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"raymond of Nutley, NJ","
                    Verified Reviewer
                ","Original review: Dec. 31, 2021","I know you think you can beat the system. Good luck. This job is ** for the desperate. And BTW.... those numbers they flash about bonuses and earning potential....there are lots of caveats AND they've realistically cut pay in HALF over the last year. After Gas and Maintenance, you will make less than you would at Starbucks, and not get the benefits that Starbucks guarantees. I implore you to make a better decision than to work for this new age tech sweat shop. Stay away. Friendly warning. Just stay away. THIS JOB WILL SUCK YOU DRY OF ENERGY, TIME AND MONEY AND LEAVE YOU EMPTY HANDED! From the bonuses to the driver incentives that are offered, it's all a scam. You will regret doing this job. I guarantee it.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Theresa of Dallas, TX","
                    Verified Reviewer
                ","Original review: Dec. 30, 2021",Uber sucks. I’m left stranded while my ride drives away and leaves me. Now I’m waiting with no more money to get another one. Uber says they will get me going soon but I don’t think so. I feel they're lying.,"4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Robert of Middletown, PA","
                    Verified Reviewer
                ","Original review: Dec. 28, 2021","Driver could not find me, ask my location and then told me I would have to recall and reschedule. Then I was charged a cancellation fee but I never canceled. Never again Uber. Very unsatisfied and about impossible to reach somebody over the phone to dispute charges, now I have to go to the bank to dispute them and find a new ride service. Thanks Uber for the best, not!","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Anhanyers of New York, NY","
                    Verified Reviewer
                ","Original review: Dec. 27, 2021","I took an Uber on Dec 26, 2021 at night on the JFK. The driver loaded his trunk with my luggages and some liquor and cigars I bought on the airport. He dropped me off on my location and I noticed that my liquor and cigars were missing. I contacted the Uber driver immediately and he said he had a passenger at the moment to call him back in 30 minutes. When I called him back he said that he still was driving his passenger that he was going to call me back as soon as he dropped off the passenger. He called me to tell me that my items were not in the car and that he was not responsible, to file a complaint with Uber which I did and they also said they are not responsible for any missing items. I know I left it in his car and I know he saw it but since it was worth $357 he refused it to return it. Uber needs to implement a policy where his customers can be compensated if something like this happens.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Barbara of Toronto, Other","
                    Verified Reviewer
                ","Original review: Dec. 26, 2021","My son cooked their own Christmas dinner and as in the past, he packaged up some of everything for me, his mother. The food never arrived. The driver claims he took it to the correct address. He was driving a smallish light coloured car when he left my son's house with the turkey dinner. My son has the license number of his car. I received an email from Uber that a parcel was on its way to me. It never came. Today he claimed that he delivered to the right address. Uber says it will follow up with the driver. I wonder! They have refunded the fee to my son. There are still a lot of unanswered questions. The parcel was correctly addressed. Where did it go?","2 people found this review helpful
            
        ",2 people,Rated with 2 stars
"Abraham of Saint Paul, MN","
                    Verified Reviewer
                ","Original review: Dec. 18, 2021","Uber you're not that great as it is, you Keep upping your price like you just did. You're gonna lose way more customers than just me. Prepare to lose millions, these days a few extra more dollars is more than a lot can afford. It's a struggle and pandemic.","5 people found this review helpful
            
        ",5 people,Rated with 2 stars
"Kaitlynn of Toronto, Other","
                    Verified Reviewer
                ","Original review: Dec. 17, 2021","I took an Uber Saturday night (Dec 11th) from Downtown Toronto to the west end of Toronto which was around $40. I charged a cleaning fee of $170 plus paying for the ride and there are all these extras charges and now my Uber account is on hold saying I still owe $200 or so. I have called, email and messaged Uber and I get no helpful response just an automated system. I have also been locked out of my Uber app and the online Uber app.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Mila of Bethesda, MD","
                    Verified Reviewer
                ","Original review: Dec. 16, 2021","If you live in the DMV area, make sure you DON’T have Tanasha as your Uber driver. What should’ve been a $17 trip became a $102 trip. My friend (22 F) and I (23 F) were trying to get back home from the bar at around 10pm last night. We called an Uber because we know better than to drink and drive. Tanasha got assigned to us and we waited for his arrival. Upon getting in his car, he didn’t greet us or acknowledge our presence. I figured he was having a bad night, so my friend and I sat in the car quietly. My friend was very tired and had her head in her lap. Tanasha started accusing her of puking in his car. My friend was tired, but not puking. I tried to tell him this, but he got overly angry at me. He then proceeded to pullover on the side of the highway, walk over to my friends door, and yell at her to get out. She refused because we were on the side of the highway late at night. I was scared and quietly prayed that he’d just let it go and continue driving.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"TheCoronapatron of New Haven, CT","
                    Verified Reviewer
                ","Original review: Dec. 14, 2021","Every Sunday I schedule an Uber ride as to not be late for work. I thought this was a great option and accommodation add on to the business. Well, not so much as recently within the last three months Uber will schedule a ride only to cancel it at the last possible hour causing my son to be late for work. I would like to file a formal complaint as to be compensated for these losses. A class action lawsuit needs to be brought up against UBER! I’m going to seek it.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Misha of Alpine, CA","
                    Verified Reviewer
                ","Original review: Dec. 6, 2021",I just got an email from you that I did not wear a mask. It is obvious that the driver has lied. I would like to get my $3.00 tip back. He picked me up at a car repair shop and I actually asked my mechanic for a mask because I did not have one. He gave it to me and I put it on. The driver should have refused to give me a ride if I was not wearing one and now he is saying I did NOT WEAR ONE?!?! It is ridiculous. I would like to report that the driver was a liar and get either my tip back or the whole payment back because he lied. It is totally unacceptable. Please respond to me with your decision ASAP. The driver's name is Wesley and he was driving his noisy Honda Civic.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Jackson of Los Angeles, CA","
                    Verified Reviewer
                ","Original review: Nov. 30, 2021","Where do I even start? They treat the drivers like slaves. They spent an outrageous amount of money on Prop 22 in California. Congrats, it passed! Now you can continue to screw over your drivers. They falsely advertise promo codes. I redeemed a promo code for $15 off. Nowhere did it say that it was only valid in New Mexico. In fact, it says that it is valid in the United States. But when I took a trip, it didn't work, and now they won't give me a refund despite it being THEIR fault that their promotions are falsely advertising. This is just one of the greediest companies there is, and it's hurting drivers, customers, and not to mention the environment. Potentially one of the most dangerous businesses in the history of the world.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Matt of Boise, ID","
                    Verified Reviewer
                ","Original review: Nov. 26, 2021","I confirmed an estimate from the Boise airport to my home of $10.99. I was charged $24.00. There was no traffic or delays. There is no way to dispute this. You cannot speak to a live person or email with a specific problem. There is zero customer service, it is all automated.","9 people found this review helpful
            
        ",9 people,Rated with 1 star
"Robert of Jacksonville, FL","
                    Verified Reviewer
                ","Original review: Nov. 25, 2021","I have taken many Uber rides since having been vaccinated for COVID. All drivers have recently shared my opinion that if vaccinated, a mask is unnecessary. Until now. I called for an Uber and did not have a mask. When I got into the car I was asked to put on a mask. When I said I didn't have one, the driver looked distressed. I offered to call another car or walk. He said ""No, I'll take you."" I did not know he would report me and now I am required to send a picture of myself wearing a mask when I call for a ride. ""Let's go Brandon!"" Lyft will now be the only company I use. Next time a driver complains about not having a mask I suggest that you just get out and call for another. Oh yeah, leave that guy/gal a bad review.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Alex of The Colony, TX","
                    Verified Reviewer
                ","Original review: Nov. 22, 2021","First off, full disclosure: my family and I have been fully vaccinated since spring 2021, but we still wear masks everywhere--have multiple colors and styles even. Now to the review. My driver Manoj cancelled my ride at Dallas Love Field Airport without ever stopping. He had been messaging me fine before that (""hello, where are you"", etc.), but when he arrived he DID NOT ever slow down--I saw his New York tags and started running but neither I nor my mother (fellow rider) could wave him down. ","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Farrah of Spring, TX","
                    Verified Reviewer
                ","Original review: Nov. 21, 2021","I regret working for this company. I was arrested falsely accused and the charges were dropped. Not one single representative I can get on the phone and talk to because my account is not able to speak to a live representative. I used to make $5,000 a month with Uber and had a 100% delivery driver rating as well as great feedback and comments. I was probably one of the highest earners Uber has ever had. The case has been dropped for 3 months and Uber has failed to do anything about giving me my job back with them.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Marla of San Jose, CA","
                    Verified Reviewer
                ","Original review: Nov. 19, 2021",Uber and Lyft charged me thousands of dollars without giving me rides. Many times I was charged by Uber and Lyft thousands of dollars without giving me rides. Uber and Lyft Drivers have no morals or ethics and left me stranded in some God awful neighborhoods while charging me for rides. Shame on Uber and Lyft!!!!,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Patrick of Pagosa Springs, CO","
                    Verified Reviewer
                ","Original review: Nov. 7, 2021",Quoted the usual Uber price of $32 from PSP to Palm Desert. Couldn’t get website to book so waited until I arrived an hour later. Was then quoted $89. (The Curb side taxi was $50.00) but used the Uber app. I was charged $118. And asked to rate my experience. Just got a royal rip off.,"4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Helen of Fort Pierce, FL","
                    Verified Reviewer
                ","Original review: Oct. 29, 2021",Two stars because Daniel was a good driver. But he talks nonstop. Told him a shorter way to go home and he kept wanting to turn when it was a straight away for about 5 miles. Not a great experience. Wanted to get some things out of my cell phone. Could not. They were almost home. I've had my mask on the whole time. He didn't. It tells me he doesn't believe in the shot and three of his relatives just passed away. Please do not send out drivers without mask when your website the state's driver and passenger bus for masks.,"4 people found this review helpful
            
        ",4 people,Rated with 2 stars
"Eny of Ny, NY","
                    Verified Reviewer
                ","Original review: Oct. 28, 2021","I've been in a lot of trouble with Uber drivers lately. They don't know where we are and they cancel our trip but we are the one to pay for the cancelation. Why doesn’t Uber pay us for the negligence? Uber charges us for wait Time because their driver couldn’t find us. Also Uber created tons of fees like tolls, Surcharges, booking fee, Municipal regulation, Linha Amarela and NY ** Car Fund. What do I have to do with the ** car Fund? That's an abuse of power. I also suggest that Uber drivers needs better training, because we're not millionaires. Most of the time, when I call for a ride I visual the price but when Uber send me the receipt it is a totally different amount. What is that?","3 people found this review helpful
            
        ",3 people,Rated with 2 stars
"S of Alpharetta, GA","
                    Verified Reviewer
                ","Original review: Oct. 28, 2021",Uber software not providing drivers with crucial information. It took me 40 minutes to travel 1 mile. First driver gave up and charged us. Second driver gave up. Third driver was smart enough to figure things out. No way to get in touch with humans. White collar criminals! Avoid this company at all costs!!!,"2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Sue of Hoquiam, WA","
                    Verified Reviewer
                ","Original review: Oct. 21, 2021","The first confirmed ride drove away and cancelled us. The 2nd ride was great, but we then received feedback that we had not worn a mask, which was false. Since our 2nd ride was quite pleasant, and received a good rating and tip I doubted that the comment came from him. I contacted the company, explained that we had just left a medical facility where we had been properly masked as was the nurse who was assisting us at the time. I asked that the comment be deleted from my account. They assured me no action would result and I could still use the service but would not remove the remarks. I doubt that I will use their service in the future. It appeared that the no-mask comment had come from someone we’d never heard of, not from the driver, whose name is on our receipt.","5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Kevin of Chandler, AZ","
                    Verified Reviewer
                ","Original review: Oct. 15, 2021","Uber still trying to force masks on free people and employees, vaccinated or not. Disgusting. When will a Freedom-loving non-fascist company start-up and put Uber out of business once and for all? I can't wait for that day.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Genie of Erdenheim, PA","
                    Verified Reviewer
                ","Original review: Oct. 15, 2021","I was quoted $55.23 to go to airport. The driver arrived 10 minutes early. Easy drive to airport Charged $68.97. Worst company ever. NO phone number, no email. No good reviews ever. Last time I use Uber. I'll try Lyft. Consumer beware.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Owls of Houston, TX","
                    Verified Reviewer
                ","Original review: Oct. 10, 2021","Awful support, they give the same generic message over the phone after waiting for 20 minutes or through the Uber support messages on the driver app. Background took over 70 days to clear. Got an unlawful review from a passenger for being under the insurance, account was paused for over a week with no warning. Said they did their investigation and deactivated my account and still several days have passed and no one is able to help me. They all say the same thing again and again. Looks ok on their side. If you are thinking about driving for Uber then think twice. It is unreliable.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Pamela of Redlands, CA","
                    Verified Reviewer
                ","Original review: Oct. 7, 2021","I called an Uber in Sunrise Fl for a 3.5 mile ride. He never found the address I gave him even though is easy to find. I've driven there before. He drove in circles for an hour. He verbally assaulted me, was driving in the most reckless way veering between lanes, texting while coming to a complete stop in the middle of the road! Driving between lanes. He was verbally abusive too and ending up dropping me off in the middle of nowhere. Then he up the charge to 36.00 from an 11.00 dollar original fee for 3.5 miles. But he never got me to.my destination.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Ursula of Duncanville, TX","
                    Verified Reviewer
                ","Original review: Oct. 7, 2021","Uber has many issues. I have had to use them regularly for the past two weeks, and these are the issues I’ve encountered:","4 people found this review helpful
            
        ",4 people,Rated with 1 star
